HD,HIP,Vmag,Fl,Cst,BayerConst
28,443,4.61,33,Psc,Psc
87,476,5.55,86,Peg,Peg
144,531,5.57,10,Cas,Cas
315,635,6.43,4,Cet,Cet
352,664,6.18,5,Cet,Cet
358,677,2.07,21,And,alf And
432,746,2.28,11,Cas,bet Cas
448,729,5.57,87,Peg,Peg
493,761,5.42,,Scl,kap01 Scl
496,765,3.88,,Phe,eps Phe
560,813,5.54,34,Psc,Psc
571,841,5.01,22,And,And
636,814,5.29,,Oct,gam03 Oct
693,910,4.89,6,Cet,Cet
720,930,5.41,,Scl,kap02 Scl
739,950,5.24,,Scl,the Scl
886,1067,2.83,88,Peg,gam Peg
905,1086,5.71,23,And,And
1013,1168,4.79,89,Peg,chi Peg
1038,1170,4.44,7,Cet,Cet
1061,1196,6.02,35,Psc,Psc
1227,1319,6.12,36,Psc,Psc
1280,1366,4.61,24,And,the And
1317,1392,6.66,38,Psc,Psc
1337,1415,6.11,,Cas,AO Cas
1404,1473,4.51,25,And,sig And
1438,1501,6.10,26,And,And
1522,1562,3.56,8,Cet,iot Cet
1563,1595,6.60,40,Psc,Psc
1581,1599,4.23,,Tuc,zet Tuc
1635,1645,5.38,41,Psc,d Psc
1671,1686,5.16,27,And,rho And
1685,1647,5.50,,Tuc,pi. Tuc
1737,1708,5.18,,Scl,iot Scl
1760,1728,5.61,,Cet,T Cet
1796,1772,6.25,42,Psc,Psc
1835,1803,6.39,9,Cet,Cet
1967,1901,7.39,,And,R And
2011,1960,5.38,12,Cas,Cas
2051,1902,11.21,,Tuc,ksi Tuc
2114,2006,5.77,44,Psc,Psc
2140,2025,6.77,45,Psc,Psc
2151,2021,2.82,,Hyi,bet Hyi
2261,2081,2.40,,Phe,alf Phe
2262,2072,3.93,,Phe,kap Phe
2273,2100,6.16,10,Cet,Cet
2410,2213,6.40,46,Psc,Psc
2411,2219,5.01,47,Psc,TV Psc
2429,2210,4.86,,Scl,eta Scl
2436,2224,6.05,48,Psc,Psc
2628,2355,5.20,28,And,And
2637,2353,5.72,12,Cet,Cet
2729,2474,6.18,13,Cas,Cas
2772,2505,4.74,14,Cas,lam Cas
2834,2472,4.76,,Phe,lam01 Phe
2884,2484,4.36,,Tuc,bet01 Tuc
2885,2487,4.53,,Tuc,bet02 Tuc
2905,2599,4.17,15,Cas,kap Cas
2910,2568,5.38,52,Psc,Psc
2913,2548,5.69,51,Psc,Psc
3003,2578,5.07,,Tuc,bet03 Tuc
3038,2707,6.47,16,Cas,Cas
3112,2629,6.11,,Tuc,the Tuc
3196,2762,5.20,13,Cet,Cet
3229,2787,5.94,14,Cet,Cet
3302,2802,5.51,,Phe,lam02 Phe
3360,2920,3.69,17,Cas,zet Cas
3369,2912,4.34,29,And,pi. And
3379,2903,5.89,53,Psc,Psc
3512,2994,6.64,15,Cet,Cet
3546,3031,4.34,30,And,eps And
3627,3092,3.27,31,And,del And
3651,3093,5.88,54,Psc,Psc
3690,3138,5.36,55,Psc,Psc
3712,3179,2.24,18,Cas,alf Cas
3817,3231,5.30,32,And,And
3901,3300,4.80,19,Cas,ksi Cas
3919,3245,4.59,,Phe,mu. Phe
3980,3277,5.72,,Phe,ksi Phe
4058,3414,4.95,20,Cas,pi. Cas
4065,3356,6.05,,Scl,lam01 Scl
4089,3330,5.38,,Tuc,rho Tuc
4128,3419,2.04,16,Cet,bet Cet
4142,3478,5.66,68,Cas,Cas
4150,3405,4.36,,Phe,eta Phe
4161,3572,5.64,21,Cas,YZ Cas
4180,3504,4.48,22,Cas,omi Cas
4188,3455,4.77,17,Cet,phi01 Cet
4211,3456,5.90,,Scl,lam02 Scl
4307,3559,6.15,18,Cet,Cet
4382,3721,5.42,23,Cas,Cas
4408,3632,5.36,57,Psc,Psc
4482,3675,5.51,58,Psc,Psc
4490,3685,6.11,59,Psc,Psc
4502,3693,4.08,34,And,zet And
4526,3697,5.98,60,Psc,Psc
4568,3730,6.51,61,Psc,Psc
4614,3821,3.46,24,Cas,eta Cas
4627,3760,5.92,62,Psc,Psc
4636,3801,4.90,25,Cas,nu. Cas
4656,3786,4.44,63,Psc,del Psc
4676,3810,5.07,64,Psc,Psc
4727,3881,4.53,35,And,nu. And
4757,3885,5.55,65,Psc,i Psc
4758,0,7.10,65,Psc,i Psc
4813,3909,5.17,19,Cet,phi02 Cet
4815,3781,5.09,,Hyi,lam Hyi
4919,3949,5.24,,Phe,rho Phe
5112,4147,4.78,20,Cet,Cet
5190,4084,6.67,,Tuc,lam01 Tuc
5234,4292,4.83,26,Cas,ups01 Cas
5267,4267,5.80,66,Psc,Psc
5268,4257,6.15,21,Cet,Cet
5286,4288,5.46,36,And,And
5382,4366,6.08,67,Psc,k Psc
5394,4427,2.15,27,Cas,gam Cas
5395,4422,4.62,28,Cas,ups02 Cas
5437,4371,5.35,22,Cet,phi03 Cet
5448,4436,3.86,37,And,mu. And
5457,4293,5.45,,Tuc,lam02 Tuc
5516,4463,4.40,38,And,eta And
5575,4510,5.44,68,Psc,h Psc
5679,4843,6.90,,Cep,ups Cep
