Internal ID Number,Name,Common Name,Type,Constellation,V,RAJ2000,DEJ2000
Gal_And_IC 5370,IC 5370,,Gal,Andromeda,15.0,0.0253,32.75
notype_And_IC 5371,IC 5371,,-,Andromeda,,0.0503,32.8166
notype_Cas_NGC 7801,NGC 7801,,-,Cassiopeia,,0.1004,50.6999
Gal_And_IC 5372,IC 5372,,Gal,Andromeda,15.0,0.1003,32.7833
Gal_And_IC 5373,IC 5373,,Gal,Andromeda,15.0,0.1003,32.7833
Gal_Psc_NGC 7802,NGC 7802,,Gal,Pisces,14.0,0.2753,6.2167
notype_Psc_IC 5374,IC 5374,,-,Pisces,,0.2753,4.5
Gal_Psc_IC 5375,IC 5375,,Gal,Pisces,14.0,0.2753,4.5167
notype_Psc_NGC 7804,NGC 7804,,-,Pisces,,0.3253,7.75
Gal_Peg_NGC 7803,NGC 7803,,Gal,Pegasus,14.0,0.3503,13.1
Gal_Peg_NGC 7805,NGC 7805,,Gal,Pegasus,14.0,0.3503,31.4333
Gal_And_IC 5376,IC 5376,,Gal,Andromeda,15.0,0.3503,34.5333
Gal_Peg_NGC 7806,NGC 7806,,Gal,Pegasus,14.0,0.3753,31.45
Gal_Peg_IC 1526,IC 1526,,Gal,Pegasus,15.0,0.4003,11.35
Gal_Peg_IC 5377,IC 5377,,Gal,Pegasus,16.0,0.5253,16.6
Gal_Psc_NGC 7809,NGC 7809,,Gal,Pisces,15.0,0.5503,2.9333
Gal_Peg_NGC 7810,NGC 7810,,Gal,Pegasus,14.0,0.6003,12.95
notype_Psc_IC 1527,IC 1527,,-,Pisces,,0.6003,4.1167
Gal_Psc_NGC 7811,NGC 7811,,Gal,Pisces,15.0,0.6253,3.3333
notype_Peg_IC 5378,IC 5378,,-,Pegasus,,0.6503,16.6166
notype_Peg_IC 5379,IC 5379,,-,Pegasus,,0.6753,16.5833
notype_Tuc_IC 5380,IC 5380,,-,Tucana,,0.6754,-66.1832
Gal_Scl_NGC 7812,NGC 7812,,Gal,Sculptor,,0.7253,-34.2499
Gal_Cet_NGC 7813,NGC 7813,,Gal,Cetus,15.0,0.8003,-11.9833
Gal_Peg_IC 5381,IC 5381,,Gal,Pegasus,,0.8003,15.9666
Gal_Peg_NGC 7814,NGC 7814,,Gal,Pegasus,10.5,0.8253,16.15
notype_Peg_NGC 7815,NGC 7815,,-,Pegasus,,0.8503,20.6833
notype_Tuc_IC 5382,IC 5382,,-,Tucana,,0.8504,-65.1832
Gal_Cet_NGC 7808,NGC 7808,,Gal,Cetus,14.0,0.8753,-10.75
Nb_Cep_NGC 7822,NGC 7822,,Nb,Cepheus,,0.9004,68.6166
Gal_Psc_NGC 7816,NGC 7816,,Gal,Pisces,14.0,0.9503,7.4667
notype_Peg_IC 5383,IC 5383,,-,Pegasus,,0.9503,16.0
Gal_Peg_NGC 7817,NGC 7817,,Gal,Pegasus,12.0,1.0003,20.75
Gal_Psc_NGC 7818,NGC 7818,,Gal,Pisces,15.0,1.0503,7.35
Gal_Cet_IC 5384,IC 5384,,Gal,Cetus,15.0,1.0503,-11.9666
Gal_Peg_NGC 7819,NGC 7819,,Gal,Pegasus,14.0,1.1003,31.4833
Gal_Psc_NGC 7820,NGC 7820,,Gal,Pisces,14.0,1.1503,5.1833
Gal_Tuc_NGC 7823,NGC 7823,,Gal,Tucana,,1.2004,-62.0666
notype_Psc_IC 1528,IC 1528,,-,Pisces,,1.2753,-3.1167
Gal_Psc_NGC 7824,NGC 7824,,Gal,Pisces,14.0,1.3003,6.9
Gal_Psc_NGC 7825,NGC 7825,,Gal,Pisces,15.0,1.3003,5.2
notype_Cet_NGC 7826,NGC 7826,,-,Cetus,,1.3003,-20.7333
notype_Cet_IC 1529,IC 1529,,-,Cetus,,1.3003,-11.5
Gal_Cet_NGC 7821,NGC 7821,,Gal,Cetus,14.0,1.3253,-16.4833
Gal_Psc_NGC 7827,NGC 7827,,Gal,Pisces,14.0,1.3753,5.2167
Str_Psc_NGC 7830,NGC 7830,,Str,Pisces,,1.5503,8.3667
Gal_Cet_NGC 7828,NGC 7828,,Gal,Cetus,,1.6003,-13.4
Gal_Cet_NGC 7829,NGC 7829,,Gal,Cetus,,1.6003,-13.4
notype_Psc_IC 5385,IC 5385,,-,Pisces,,1.6003,-0.0667
notype_Peg_NGC 7833,NGC 7833,,-,Pegasus,,1.6253,27.6333
notype_Psc_IC 5386,IC 5386,,-,Pisces,,1.6253,-3.7167
Gal_Psc_NGC 7832,NGC 7832,,Gal,Pisces,13.0,1.6503,-3.7
Gal_Psc_NGC 7834,NGC 7834,,Gal,Pisces,15.0,1.6753,8.35
Gal_Psc_NGC 7835,NGC 7835,,Gal,Pisces,15.0,1.7003,8.4167
Gal_Psc_NGC 7837,NGC 7837,,Gal,Pisces,16.0,1.7253,8.3333
Gal_Psc_NGC 7838,NGC 7838,,Gal,Pisces,15.0,1.7503,8.3333
Str_Peg_NGC 7839,NGC 7839,,Str,Pegasus,,1.7503,27.6333
Gal_Psc_NGC 7840,NGC 7840,,Gal,Pisces,,1.7753,8.55
Gal_Peg_NGC 1,NGC 1,,Gal,Pegasus,13.0,1.8253,27.7166
Gal_Peg_NGC 2,NGC 2,,Gal,Pegasus,15.0,1.8253,27.6833
Gal_Psc_NGC 3,NGC 3,,Gal,Pisces,14.0,1.8253,8.2833
Gal_And_NGC 7831,NGC 7831,,Gal,Andromeda,14.0,1.8253,32.5833
Gal_And_IC 1530,IC 1530,,Gal,Andromeda,,1.8253,32.6166
Gal_Psc_NGC 4,NGC 4,,Gal,Pisces,,1.8503,8.3667
Gal_And_NGC 5,NGC 5,,Gal,Andromeda,14.0,1.9503,35.35
Gal_And_NGC 7836,NGC 7836,,Gal,Andromeda,,2.0003,33.0666
notype_And_NGC 6,NGC 6,,-,Andromeda,,2.0753,32.5
Gal_Scl_NGC 7,NGC 7,,Gal,Sculptor,,2.1003,-29.9166
Str_Peg_IC    1,IC    1,,Str,Pegasus,,2.1003,27.7166
Gal_Scl_NGC 10,NGC 10,,Gal,Sculptor,,2.1503,-33.8666
Gal_And_NGC 11,NGC 11,,Gal,Andromeda,14.0,2.1753,37.4333
Gal_Psc_NGC 12,NGC 12,,Gal,Pisces,15.0,2.1753,4.6167
Str_Peg_NGC 8,NGC 8,,Str,Pegasus,,2.2003,23.8333
Gal_And_NGC 13,NGC 13,,Gal,Andromeda,14.0,2.2003,33.4333
Gal_Peg_NGC 14,NGC 14,,Gal,Pegasus,12.0,2.2003,15.8166
Gal_Peg_NGC 9,NGC 9,,Gal,Pegasus,15.0,2.2253,23.8166
Gal_Peg_NGC 15,NGC 15,,Gal,Pegasus,15.0,2.2753,21.6
Gal_Peg_NGC 16,NGC 16,,Gal,Pegasus,12.0,2.2753,27.7333
Str_Peg_NGC 18,NGC 18,,Str,Pegasus,,2.3503,27.7166
notype_And_NGC 19,NGC 19,,-,Andromeda,,2.3503,32.8333
Gal_And_NGC 20,NGC 20,,Gal,Andromeda,15.0,2.3753,33.3166
Gal_Scl_IC 1531,IC 1531,,Gal,Sculptor,,2.4003,-32.2833
Gal_Peg_NGC 22,NGC 22,,Gal,Pegasus,15.0,2.4503,27.8333
Gal_Peg_NGC 23,NGC 23,,Gal,Pegasus,12.0,2.4753,25.9166
Gal_Scl_NGC 24,NGC 24,,Gal,Sculptor,11.5,2.4753,-24.9666
Gal_Phe_NGC 25,NGC 25,,Gal,Phoenix,,2.4754,-57.0499
Gal_Tuc_IC 1532,IC 1532,,Gal,Tucana,,2.4754,-64.3666
Gal_Phe_NGC 28,NGC 28,,Gal,Phoenix,,2.5754,-57.0166
Gal_Peg_NGC 26,NGC 26,,Gal,Pegasus,14.0,2.6003,25.8333
Gal_And_NGC 27,NGC 27,,Gal,Andromeda,14.0,2.6253,29.0
Gal_Phe_NGC 31,NGC 31,,Gal,Phoenix,,2.6254,-56.9999
notype_Cet_IC 1533,IC 1533,,-,Cetus,,2.6503,-7.4166
Gal_And_NGC 21,NGC 21,,Gal,Andromeda,14.0,2.6753,32.9833
Gal_And_NGC 29,NGC 29,,Gal,Andromeda,14.0,2.7003,33.35
Str_Peg_NGC 30,NGC 30,,Str,Pegasus,,2.7003,21.95
Ast_Peg_NGC 32,NGC 32,,Ast,Pegasus,,2.7253,18.7833
Str_Psc_NGC 33,NGC 33,,Str,Pisces,,2.7253,3.6667
notype_Cet_NGC 17,NGC 17,,-,Cetus,,2.7503,-12.1
