RAJ2000,DEJ2000,Constellation
353.035698,35.1897736,Andromeda
352.027387,35.1880264,Andromeda
351.018963,35.1860695,Andromeda
350.010539,35.1838989,Andromeda
349.002342,35.1815186,Andromeda
347.994003,35.1789322,Andromeda
346.985692,35.1761322,Andromeda
345.977554,35.1731300,Andromeda
344.969329,35.1699181,Andromeda
344.465304,35.1682358,Lacerta
344.460181,36.1682281,Lacerta
344.454889,37.1682205,Lacerta
344.449482,38.1682091,Lacerta
344.443932,39.1682014,Lacerta
344.438209,40.1681900,Lacerta
344.432316,41.1681786,Lacerta
344.426250,42.1681709,Lacerta
344.419984,43.1681557,Lacerta
344.413491,44.1681480,Lacerta
344.406795,45.1681366,Lacerta
344.399842,46.1681252,Lacerta
344.392662,47.1681137,Lacerta
344.385195,48.1681023,Lacerta
344.377413,49.1680870,Lacerta
344.369316,50.1680717,Lacerta
344.360876,51.1680603,Lacerta
344.352064,52.1680412,Lacerta
344.342851,53.1680298,Lacerta
345.358257,53.1713676,Cassiopeia
346.373921,53.1744957,Cassiopeia
347.389669,53.1774216,Cassiopeia
348.405276,53.1801338,Cassiopeia
349.421139,53.1826363,Cassiopeia
350.437059,53.1849251,Cassiopeia
351.452894,53.1870041,Cassiopeia
351.458187,52.1870117,Andromeda
351.463222,51.1870155,Andromeda
351.465682,50.6870193,Andromeda
352.480316,50.6888847,Cassiopeia
353.494979,50.6905365,Cassiopeia
354.509526,50.6919746,Cassiopeia
355.270557,50.6929131,Cassiopeia
355.273361,49.6929131,Andromeda
355.276079,48.6929169,Andromeda
356.289825,48.6939774,Cassiopeia
357.303600,48.6948280,Cassiopeia
358.317232,48.6954613,Cassiopeia
359.331036,48.6958809,Cassiopeia
0.344827,48.6960831,Cassiopeia
1.358464,48.6960716,Cassiopeia
1.611971,48.6960373,Cassiopeia
1.611960,48.6960373,Cassiopeia
2.625761,48.6957550,Cassiopeia
3.639401,48.6952629,Cassiopeia
4.146367,48.6949348,Cassiopeia
4.144794,47.6949348,Andromeda
4.143279,46.6949348,Andromeda
5.155965,46.6941185,Cassiopeia
6.168784,46.6930885,Cassiopeia
7.181581,46.6918449,Cassiopeia
8.194201,46.6903877,Cassiopeia
9.206943,46.6887169,Cassiopeia
10.219651,46.6868362,Cassiopeia
11.232168,46.6847420,Cassiopeia
12.244797,46.6824379,Cassiopeia
13.257378,46.6799202,Cassiopeia
14.269756,46.6771965,Cassiopeia
14.776077,46.6757545,Andromeda
14.782350,47.6757469,Andromeda
14.788867,48.6757393,Cassiopeia
15.802069,48.6726990,Cassiopeia
16.815359,48.6694489,Cassiopeia
17.828577,48.6659966,Cassiopeia
18.588408,48.6632690,Andromeda
18.596976,49.6632500,Andromeda
18.605904,50.6632347,Cassiopeia
19.619801,50.6594200,Cassiopeia
20.633761,50.6553993,Cassiopeia
21.647636,50.6511765,Cassiopeia
22.407936,50.6478767,Perseus
23.421486,50.6433029,Perseus
24.435086,50.6385307,Perseus
25.448576,50.6335640,Perseus
26.461803,50.6283989,Perseus
26.968524,50.6257439,Perseus
26.955659,49.6257782,Perseus
26.943311,48.6258125,Perseus
26.931439,47.6258430,Perseus
27.943167,47.6203957,Perseus
28.954938,47.6147575,Perseus
29.966592,47.6089287,Perseus
30.977981,47.6029167,Perseus
31.989402,47.5967178,Perseus
32.621491,47.5927505,Andromeda
32.635692,48.5927048,Andromeda
32.650466,49.5926552,Andromeda
32.665859,50.5926094,Andromeda
32.673801,51.0925827,Perseus
33.686339,51.0860786,Perseus
34.698876,51.0793915,Perseus
35.711264,51.0725288,Perseus
36.723346,51.0654869,Perseus
37.735424,51.0582733,Perseus
38.747331,51.0508881,Perseus
39.758928,51.0433311,Perseus
39.885479,51.0423737,Perseus
39.866727,50.0424461,Perseus
39.848742,49.0425110,Perseus
39.831469,48.0425797,Perseus
39.814849,47.0426407,Perseus
39.798846,46.0427017,Perseus
